episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
nan,nan,nan,nan,0,8,320,320,320,False,0,1,320a8_00000,08faa473bb56470e8d57b36627e20e92,2022-04-23_16-28-01,1650711481,0.5936360359191895,0.5936360359191895,28360,DESKTOP-1HD8C9H,127.0.0.1,0.5936360359191895,320,1,11.156481266021729,[],[],516.906,619.067,0.0,0.0,187.459,1707.036,15.628,320,320,320,320,320,6.0,6.1,0.0001,0.01,0.0003845653554890305,0.0,0.020201295614242554
nan,nan,nan,nan,0,8,8640,320,8640,False,0,2,320a8_00000,08faa473bb56470e8d57b36627e20e92,2022-04-23_16-28-11,1650711491,10.195660591125488,10.789296627044678,28360,DESKTOP-1HD8C9H,127.0.0.1,10.789296627044678,640,2,11.156481266021729,[],[],375.687,851.772,7.801,41021.718,20.31,15755.603,15.604,8640,8640,8640,320,8640,12.153333333333334,6.099999999999998,0.0001,0.01,1.0422567497668853e-33,0.0,17.932212829589844
-21.0,-21.0,-21.0,3057.0,8,8,16960,320,16960,False,8,3,320a8_00000,08faa473bb56470e8d57b36627e20e92,2022-04-23_16-28-21,1650711501,10.201048135757446,20.990344762802124,28360,DESKTOP-1HD8C9H,127.0.0.1,20.990344762802124,960,3,11.156481266021729,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057]",417.783,765.947,7.808,40981.511,18.751,17065.603,40.865,16960,16960,16960,320,16960,13.157142857142858,6.099999999999999,0.0001,0.01,1.2037390363916298e-21,0.0,28.236373901367188
-21.0,-21.0,-21.0,3057.0,16,8,25600,320,25600,False,24,4,320a8_00000,08faa473bb56470e8d57b36627e20e92,2022-04-23_16-28-31,1650711511,10.168791055679321,31.159135818481445,28360,DESKTOP-1HD8C9H,127.0.0.1,31.159135818481445,1280,4,11.156481266021729,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057]",382.921,835.681,3.124,102425.006,43.744,7315.29,12.479,25600,25600,25600,320,25600,13.46,6.099999999999998,0.0001,0.01,2.1195055636910254e-25,0.0,14.697903633117676
-21.0,-21.0,-21.0,3057.0,8,8,34240,320,34240,False,32,5,320a8_00000,08faa473bb56470e8d57b36627e20e92,2022-04-23_16-28-42,1650711522,10.080912351608276,41.24004817008972,28360,DESKTOP-1HD8C9H,127.0.0.1,41.24004817008972,1600,5,11.156481266021729,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057]",389.658,821.233,6.25,51197.07,20.313,15753.698,12.861,34240,34240,34240,320,34240,14.135714285714284,6.099999999999999,0.0001,0.01,5.860530495281945e-25,0.0,8.895304679870605
-21.0,-21.0,-21.0,3057.0,16,8,42880,320,42880,False,48,6,320a8_00000,08faa473bb56470e8d57b36627e20e92,2022-04-23_16-28-52,1650711532,10.06055736541748,51.3006055355072,28360,DESKTOP-1HD8C9H,127.0.0.1,51.3006055355072,1920,6,11.156481266021729,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057]",380.624,840.724,3.13,102225.299,26.556,12050.109,15.591,42880,42880,42880,320,42880,13.985714285714286,6.099999999999999,0.0001,0.01,9.14191181538e-26,0.0,11.078797340393066
-21.0,-21.0,-21.0,3057.0,8,8,51520,320,51520,False,56,7,320a8_00000,08faa473bb56470e8d57b36627e20e92,2022-04-23_16-29-02,1650711542,10.167760133743286,61.46836566925049,28360,DESKTOP-1HD8C9H,127.0.0.1,61.46836566925049,2240,7,11.156481266021729,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057]",397.006,806.034,3.125,102402.344,24.989,12805.483,14.044,51520,51520,51520,320,51520,13.686666666666667,6.099999999999998,0.0001,0.01,1.86547782429769e-12,0.0,14.284953117370605
-21.0,-21.0,-21.0,3057.0,8,8,60160,320,60160,False,64,8,320a8_00000,08faa473bb56470e8d57b36627e20e92,2022-04-23_16-29-12,1650711552,10.244282245635986,71.71264791488647,28360,DESKTOP-1HD8C9H,127.0.0.1,71.71264791488647,2560,8,11.156481266021729,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057]",388.827,822.988,4.692,68201.798,42.169,7588.436,14.336,60160,60160,60160,320,60160,13.700000000000001,6.099999999999999,0.0001,0.01,1.482659249845039e-21,0.0,10.428125381469727
-21.0,-21.0,-21.0,3057.0,16,8,68480,320,68480,False,80,9,320a8_00000,08faa473bb56470e8d57b36627e20e92,2022-04-23_16-29-22,1650711562,10.057130813598633,81.76977872848511,28360,DESKTOP-1HD8C9H,127.0.0.1,81.76977872848511,2880,9,11.156481266021729,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057]",392.239,815.829,6.251,51192.189,40.618,7878.236,15.601,68480,68480,68480,320,68480,14.186666666666667,6.099999999999998,0.0001,0.01,1.6576738354374954e-13,0.0,10.989276885986328
-21.0,-21.0,-21.0,3057.0,8,8,76800,320,76800,False,88,10,320a8_00000,08faa473bb56470e8d57b36627e20e92,2022-04-23_16-29-33,1650711573,10.298074960708618,92.06785368919373,28360,DESKTOP-1HD8C9H,127.0.0.1,92.06785368919373,3200,10,11.156481266021729,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057, 3057]",418.711,764.25,6.25,51197.656,24.993,12803.419,14.043,76800,76800,76800,320,76800,14.064285714285715,6.099999999999999,0.0001,0.01,7.322153300348688e-11,0.0,8.350452423095703
